"Attribute Properties","Propriétés de l'attribut",module,Magento_Eav
"Default Label","Libellé par défaut",module,Magento_Eav
"Attribute Code","Code d'attribut",module,Magento_Eav
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","Nom qui apparaîtra sous votre application lorsque les utilisateurs l'installeront sur leur terminal. Nous vous recommandons d'utiliser un nom de 10 à 12 caractères reconnaissable par vos clients.",module,Magento_Eav
"Catalog Input Type for Store Owner","Type d'entrée catalogue pour le propriétaire du magasin",module,Magento_Eav
"Values Required","Valeurs requises",module,Magento_Eav
"Default Value","Valeur par défaut",module,Magento_Eav
"Unique Value","Valeur unique",module,Magento_Eav
"Unique Value (not shared with other products)","Valeur unique (non partagée avec les autres produits)",module,Magento_Eav
"Input Validation for Store Owner","Validation requise",module,Magento_Eav
Required,Obligatoire,module,Magento_Eav
Yes,"Oui""(Make sure you keep it in a safe place.)",module,Magento_Eav
No,Non,module,Magento_Eav
System,Système,module,Magento_Eav
None,Aucun,module,Magento_Eav
"Decimal Number","Nombre décimal",module,Magento_Eav
"Integer Number","Nombre entier",module,Magento_Eav
Letters,Lettres,module,Magento_Eav
"Letters (a-z, A-Z) or Numbers (0-9)","Lettres (a-z, A-Z) ou chiffres (0-9)",module,Magento_Eav
"Text Field","Champ texte",module,Magento_Eav
"Text Area","Zone de texte",module,Magento_Eav
Yes/No,Oui/Non,module,Magento_Eav
"Multiple Select","Sélection multiple",module,Magento_Eav
Dropdown,"Liste déroulante",module,Magento_Eav
"Input type ""%value%"" not found in the input types list.","Le type d'entrée ""%value%"" n'a pas été trouvé dans la liste des types d'entrée.",module,Magento_Eav
"Attribute object is undefined","L'objet attribut est indéfini",module,Magento_Eav
"Entity object is undefined","L'objet entité n'est pas défini",module,Magento_Eav
"""%1"" is a required value.","La longueur de ""%1"" doit être égale ou inférieure à %2 caractères.",module,Magento_Eav
"Entity is not initialized","L'entité n'est pas initialisée.",module,Magento_Eav
"Unknown parameter","Paramètre inconnu.",module,Magento_Eav
"Invalid default decimal value","Valeur décimale par défaut non valide",module,Magento_Eav
"Invalid default date","Date par défaut non valide",module,Magento_Eav
"Invalid date","Date non valide",module,Magento_Eav
label,Libellé,module,Magento_Eav
"Attempt to add an invalid object","Tentative d'ajout d'un objet invalide",module,Magento_Eav
"Joint field or attribute expression with this alias is already declared","Il existe déjà un champ de jointure ou une expression d'attribut portant cet alias.",module,Magento_Eav
